Unresolved,URL,Minimum,Maximum,Recommendations-URL
ESD-204480,https://support.efima.com/jira/issues/?jql=issuekey=ESD-204480,0.27,0.28,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-186949%2C%20ESD-197342%2C%20ESD-182161%2C%20ESD-164981)
ESD-204076,https://support.efima.com/jira/issues/?jql=issuekey=ESD-204076,0.7,0.74,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-201580%2C%20ESD-197757%2C%20ESD-198086%2C%20ESD-202389)
ESD-203664,https://support.efima.com/jira/issues/?jql=issuekey=ESD-203664,0.76,0.78,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-184192%2C%20ESD-197757%2C%20ESD-196158%2C%20ESD-201290)
ESD-203659,https://support.efima.com/jira/issues/?jql=issuekey=ESD-203659,0.58,0.63,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-163760%2C%20ESD-163238%2C%20ESD-195081%2C%20ESD-150418)
ESD-203637,https://support.efima.com/jira/issues/?jql=issuekey=ESD-203637,0.33,0.37,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-161722%2C%20ESD-159185%2C%20ESD-168689%2C%20ESD-144601)
ESD-203530,https://support.efima.com/jira/issues/?jql=issuekey=ESD-203530,0.22,0.28,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-193755%2C%20ESD-149085%2C%20ESD-150635%2C%20ESD-161593)
ESD-203405,https://support.efima.com/jira/issues/?jql=issuekey=ESD-203405,0.35,0.58,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-201905%2C%20ESD-169164%2C%20ESD-194639%2C%20ESD-172284)
ESD-203086,https://support.efima.com/jira/issues/?jql=issuekey=ESD-203086,0.27,0.64,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-164500%2C%20ESD-160870%2C%20ESD-178893%2C%20ESD-202658)
ESD-203066,https://support.efima.com/jira/issues/?jql=issuekey=ESD-203066,0.25,0.74,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-203023%2C%20ESD-157645%2C%20ESD-147775%2C%20ESD-180998)
ESD-202299,https://support.efima.com/jira/issues/?jql=issuekey=ESD-202299,0.6,0.63,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-157710%2C%20ESD-195673%2C%20ESD-163760%2C%20ESD-195081)
ESD-201267,https://support.efima.com/jira/issues/?jql=issuekey=ESD-201267,0.29,0.34,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-195116%2C%20ESD-172456%2C%20ESD-186400%2C%20ESD-188203)
ESD-201178,https://support.efima.com/jira/issues/?jql=issuekey=ESD-201178,0.31,0.4,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-197763%2C%20ESD-185884%2C%20ESD-182429%2C%20ESD-188502)
ESD-200524,https://support.efima.com/jira/issues/?jql=issuekey=ESD-200524,0.22,0.27,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-147505%2C%20ESD-195119%2C%20ESD-182972%2C%20ESD-144601)
ESD-200089,https://support.efima.com/jira/issues/?jql=issuekey=ESD-200089,0.3,0.33,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-198417%2C%20ESD-144881%2C%20ESD-181403%2C%20ESD-144961)
ESD-198759,https://support.efima.com/jira/issues/?jql=issuekey=ESD-198759,0.29,0.37,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-160263%2C%20ESD-182159%2C%20ESD-169366%2C%20ESD-186829)
ESD-198450,https://support.efima.com/jira/issues/?jql=issuekey=ESD-198450,0.3,0.37,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-147719%2C%20ESD-147706%2C%20ESD-181319%2C%20ESD-145597)
ESD-197765,https://support.efima.com/jira/issues/?jql=issuekey=ESD-197765,0.33,0.35,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-178907%2C%20ESD-142608%2C%20ESD-169660%2C%20ESD-182430)
ESD-197504,https://support.efima.com/jira/issues/?jql=issuekey=ESD-197504,0.19,0.22,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-162429%2C%20ESD-160695%2C%20ESD-148569%2C%20ESD-156340)
ESD-195269,https://support.efima.com/jira/issues/?jql=issuekey=ESD-195269,0.24,0.32,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-198048%2C%20ESD-156267%2C%20ESD-187313%2C%20ESD-198781)
ESD-195116,https://support.efima.com/jira/issues/?jql=issuekey=ESD-195116,0.41,1.0,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-195116%2C%20ESD-150640%2C%20ESD-186297%2C%20ESD-186400)
ESD-191373,https://support.efima.com/jira/issues/?jql=issuekey=ESD-191373,0.26,0.39,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-194541%2C%20ESD-198539%2C%20ESD-166441%2C%20ESD-203975)
ESD-188376,https://support.efima.com/jira/issues/?jql=issuekey=ESD-188376,0.38,0.47,https://support.efima.com/jira/issues/?jql=issuekey%20in%20(ESD-148486%2C%20ESD-190847%2C%20ESD-193754%2C%20ESD-190605)
